Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,2.502503,2.604104,2.401401,2.511011,2.511011,893181924
2004-08-20,2.527778,2.729730,2.515015,2.710460,2.710460,456686856
2004-08-23,2.771522,2.839840,2.728979,2.737738,2.737738,365122512
2004-08-24,2.783784,2.792793,2.591842,2.624374,2.624374,304946748
2004-08-25,2.626627,2.702703,2.599600,2.652653,2.652653,183772044
2004-08-26,2.626376,2.701451,2.619119,2.700450,2.700450,141897960
2004-08-27,2.705205,2.718218,2.644895,2.656406,2.656406,124235640
2004-08-30,2.634635,2.639890,2.552803,2.552803,2.552803,103935960
2004-08-31,2.560060,2.595345,2.556557,2.561812,2.561812,98357544
2004-09-01,2.570070,2.576827,2.494244,2.508759,2.508759,182765052
2004-09-02,2.482232,2.561812,2.475976,2.540290,2.540290,302373324
2004-09-03,2.526276,2.546046,2.485485,2.502753,2.502753,103048848
2004-09-07,2.527778,2.552553,2.492743,2.542042,2.542042,116950932
2004-09-08,2.521021,2.578328,2.515015,2.560060,2.560060,99712188
2004-09-09,2.565816,2.570320,2.527528,2.560310,2.560310,81234684
2004-09-10,2.542543,2.666667,2.535035,2.635886,2.635886,173977848
2004-09-13,2.668418,2.712963,2.664164,2.690190,2.690190,156882960
2004-09-14,2.688939,2.802803,2.672422,2.790040,2.790040,216579204
2004-09-15,2.766767,2.858609,2.757758,2.802803,2.802803,214261524
2004-09-16,2.811311,2.897898,2.794044,2.852102,2.852102,185326488
2004-09-17,2.863363,2.940190,2.841592,2.940190,2.940190,189450360
2004-09-20,2.926677,3.043043,2.922172,2.986987,2.986987,212575212
2004-09-21,2.998248,3.013514,2.940691,2.948949,2.948949,144575280
2004-09-22,2.937938,2.994745,2.923173,2.962462,2.962462,151624224
2004-09-23,2.973974,3.068819,2.928428,3.023524,3.023524,170713116
2004-09-24,3.026527,3.105606,2.996997,2.998749,2.998749,182469348
2004-09-27,2.991992,3.025025,2.947948,2.959459,2.959459,141322536
2004-09-28,3.035536,3.188188,3.008258,3.174675,3.174675,338581080
2004-09-29,3.170671,3.378879,3.158909,3.280280,3.280280,610329060
2004-09-30,3.250751,3.310811,3.228228,3.243243,3.243243,275160564
2004-10-01,3.273273,3.359359,3.225726,3.317818,3.317818,302497200
2004-10-04,3.384635,3.425175,3.354104,3.379880,3.379880,260455284
2004-10-05,3.369870,3.466717,3.309309,3.462713,3.462713,299464236
2004-10-06,3.442192,3.464715,3.403403,3.430430,3.430430,267628104
2004-10-07,3.426426,3.500501,3.417167,3.474725,3.474725,282301416
2004-10-08,3.471471,3.495495,3.428929,3.446697,3.446697,221390388
2004-10-11,3.428428,3.474975,3.349600,3.384885,3.384885,209442348
2004-10-12,3.364364,3.443694,3.338338,3.438438,3.438438,233310456
2004-10-13,3.586587,3.592342,3.505506,3.526026,3.526026,395324280
2004-10-14,3.528779,3.563063,3.467467,3.553554,3.553554,208842948
2004-10-15,3.626877,3.641141,3.552302,3.606356,3.606356,263895840
2004-10-18,3.583584,3.733734,3.533784,3.732733,3.732733,280726992
2004-10-19,3.766266,3.813814,3.687437,3.702202,3.702202,362197440
2004-10-20,3.704454,3.728478,3.493493,3.515766,3.515766,454453092
2004-10-21,3.613614,3.757007,3.544044,3.738238,3.738238,582996420
2004-10-22,4.267768,4.508759,4.106106,4.315065,4.315065,1474200324
2004-10-25,4.414414,4.865616,4.318068,4.689690,4.689690,1309257432
2004-10-26,4.663163,4.820821,4.504505,4.549550,4.549550,891391716
2004-10-27,4.572573,4.742743,4.548799,4.653904,4.653904,533725740
2004-10-28,4.671672,4.864615,4.644645,4.837337,4.837337,593278128
2004-10-29,4.977227,5.003754,4.769770,4.770771,4.770771,845653500
2004-11-01,4.843594,4.946697,4.786537,4.905656,4.905656,488507004
2004-11-02,4.974474,4.986236,4.838338,4.876627,4.876627,453398148
2004-11-03,4.959459,5.045045,4.773524,4.796547,4.796547,554992452
2004-11-04,4.715716,4.764765,4.588338,4.622122,4.622122,575807616
2004-11-05,4.554054,4.562062,4.217968,4.237988,4.237988,792530676
2004-11-08,4.277528,4.390390,4.239239,4.318068,4.318068,447224328
2004-11-09,4.356857,4.384384,4.135886,4.221722,4.221722,442125432
2004-11-10,4.271021,4.317317,4.162412,4.200701,4.200701,425334240
2004-11-11,4.232482,4.598348,4.193443,4.580080,4.580080,598820580
2004-11-12,4.635385,4.749750,4.439439,4.554555,4.554555,669174156
2004-11-15,4.515766,4.712713,4.473223,4.626376,4.626376,475583940
2004-11-16,4.441942,4.491241,4.275025,4.317818,4.317818,835859304
2004-11-17,4.229730,4.441942,4.229229,4.316817,4.316817,724590684
2004-11-18,4.261512,4.364865,4.147397,4.192693,4.192693,664518816
2004-11-19,4.231732,4.253754,4.167167,4.239239,4.239239,350421228
2004-11-22,4.115866,4.241742,4.036787,4.131632,4.131632,494233272
2004-11-23,4.203453,4.275025,4.166667,4.192192,4.192192,496035468
2004-11-24,4.374875,4.434685,4.317067,4.373373,4.373373,610628760
2004-11-26,4.399399,4.505255,4.387387,4.489239,4.489239,258944796
2004-11-29,4.513514,4.578328,4.442192,4.530781,4.530781,426237336
2004-11-30,4.522272,4.579580,4.510761,4.554054,4.554054,307692000
2004-12-01,4.553303,4.567067,4.493243,4.503504,4.503504,314249436
2004-12-02,4.502002,4.542292,4.468218,4.489489,4.489489,250185564
2004-12-03,4.503253,4.531031,4.444444,4.514515,4.514515,234533232
2004-12-06,4.482733,4.522022,4.404905,4.411662,4.411662,249909840
2004-12-07,4.404404,4.409409,4.268018,4.290040,4.290040,274561164
2004-12-08,4.263013,4.346346,4.222472,4.253754,4.253754,301370328
2004-12-09,4.260511,4.341842,4.215966,4.340090,4.340090,305853840
2004-12-10,4.340090,4.376376,4.286537,4.295546,4.295546,172515312
2004-12-13,4.308559,4.333834,4.240490,4.265516,4.265516,192551256
2004-12-14,4.279279,4.474975,4.244244,4.471722,4.471722,443092464
2004-12-15,4.454204,4.521772,4.420921,4.498999,4.498999,458381160
2004-12-16,4.428178,4.516767,4.403153,4.416166,4.416166,342569088
2004-12-17,4.423423,4.517017,4.418168,4.506507,4.506507,295152552
2004-12-20,4.554555,4.716216,4.551301,4.630130,4.630130,392986620
